job_title,tech_stack,experience_years,location,company_name,remote_option,salary_min,salary_max,currency,posted_date,deadline,job_description
Lập Trình Viên Java / Python Từ 4 Năm Kinh Nghiệm,Backend Developer,4,Hà Nội,Công ty TNHH Digital Innovation,onsite,20000000,30000000,VND,3/9/2026,3/4/2026,"Tham gia phân tích, thiết kế, xây dựng các dự án của công ty
Tham gia các dự án outsourcing với các tập đoàn lớn trong và ngoài nước
Nghiên cứu, học hỏi các công nghệ mới để ứng dụng vào dự án"
Full Stack Developer ( Fresher ),"Fullstack Developer, IT - Phần mềm",1,Hà Nội,BSS Group,onsite,10000000,14000000,VND,3/9/2026,4/4/2026,"Phát triển, kiểm thử và bảo trì các ứng dụng Shopify sử dụng Node.js, React và Next.js.
Tích hợp với các Shopify APIs (Admin API, Storefront API, Webhooks) và các dịch vụ bên thứ ba.
Xây dựng, chuẩn hóa framework, base-components.
Thiết kế API (RESTful /GraphQL).
Xử lý sự cố và debug để đảm bảo hiệu năng ứng dụng tối ưu.
Cập nhật thường xuyên các thay đổi trong hệ sinh thái Shopify, API và các công cụ phát triển mới.
Thiết kế và phát triển hệ thống AI chatbot, tích hợp các Large Language Models (LLMs) như OpenAI và Gemini với các framework như LangChain.
Xây dựng và tối ưu các pipeline RAG (Retrieval-Augmented Generation), semantic search / vector search, và workflow của LLM nhằm đảm bảo khả năng mở rộng (scalable), hiệu suất cao, và chất lượng phản hồi AI tốt.
Các công việc khác theo yêu cầu."
Senior Java Developer – ERP Project,"Software Engineer, IT - Phần mềm",5,Hồ Chí Minh,Công ty TNHH AlphagenV,onsite,,,,3/9/2026,30/04/2026,"We are seeking a highly skilled Java with 5+ years of experience in building scalable web applications.
The ideal candidate should be strong in Java (Spring Boot) for backend development and experienced with Vue.js or React for frontend development.
Candidates with experience in ERP, PIM systems, and strong problem-solving skills will have an advantage.
Responsibilities
Design and develop ERP system modules using Java (Spring Boot).
Develop and maintain frontend applications using Vue.js or React.
Build and maintain RESTful APIs to integrate frontend and backend services.
Optimize applications for performance, scalability, and security.
Work with databases such as PostgreSQL, MySQL, or MongoDB.
Collaborate with product managers, designers, and other developers to deliver high-quality features.
Troubleshoot and resolve technical issues in both frontend and backend systems.
Ensure code quality through best practices, testing, and code reviews.
Stay updated with new technologies and propose improvements when needed.
Preferred Qualifications
Experience working with ERP, PIM, or large-scale enterprise systems.
Familiarity with Docker, CI/CD pipelines, or cloud environments.
Strong analytical and problem-solving skills.
Experience working in Agile/Scrum teams."
Frontend Middle Developer (Từ 2 Năm Kinh Nghiệm Trở Lên) - Thu Nhập Từ 20 Đến 28 Triệu (Net) Tại Hà Nội,"Frontend Developer, IT - Phần mềm",2,Hà Nội,Open Reach Tech Hanoi,onsite,20000000,28000000,VND,3/2/2026,2/4/2026,#NAME?
Application Support Officer ( BA / ERP ),"Software Engineer, IT - Phần mềm",1,Hồ Chí Minh,CÔNG TY TNHH SX VÀ TM CÁT THÁI,onsite,10000000,15000000,VND,3/2/2026,1/4/2026,"- Duy trì hệ thống phần mềm cho tất cả các công ty con
+ Tiếp nhận và xử lý các yêu cầu hỗ trợ sử dụng phần mềm gửi về hệ thống ticket. Chuyển tiếp yêu cầu đến team kỹ thuật hoặc kênh level 2, theo dõi và hỗ trợ xử lý.
+ Biên soạn tài liệu phương án xử lý vào knowledge base (Kho tri thức)
+ Hỗ trợ truy vấn cơ sở dữ liệu (Database), xây dựng các báo cáo và dashboard cơ bản.
- Tham gia triển khai dự án ERP hoặc các dự án phần mềm, dự án chuyển đổi số:
+ Khơi gợi và thu thập yêu cầu của người dùng, công ty. Xây dựng và duy trì tài liệu requirements.
+ Phối hợp với quản lý dự án, Technical Architect, IT Manager trong việc phân tích & xây dựng giải pháp.
+ Xây dựng và thực hiện test case.
+ Xây dựng và quản lý tài liệu và đào tạo đến người dùng.
- Xây dựng và triển khai chương trình, kế hoạch đào tạo người dùng
- Tìm hiểu các giải pháp phần mềm, tìm cơ hội ứng dụng vào doanh nghiệp"
Lập Trình Viên - Frontend Developer (NextJS),"Frontend Developer, IT - Phần mềm, Game",1,Hà Nội,SonatGame Studio,onsite,18000000,18000000,VND,3/2/2026,31/03/2026,"Phát triển và duy trì các web, phần mềm nội bộ
Phối hợp với Backend developer, UI/UX designer và các bên liên quan để đảm bảo sản phẩm vận hành trơn tru.
Tối ưu hiệu suất, khả năng mở rộng và responsiveness của sản phẩm.
Đảm bảo chất lượng code thông qua review, testing và tuân thủ best practices.
Xử lý bug, cải thiện và nâng cấp codebase hiện có.
Viết và cập nhật tài liệu kỹ thuật liên quan đến dự án"
Lập Trình Viên Front End - 2026,"Frontend Developer, IT - Phần mềm, Thương mại điện tử, Tài chính",1,Hà Nội,CÔNG TY TNHH HÓA ĐƠN ĐIỆN TỬ M-INVOICE,onsite,10000000,14000000,VND,3/9/2026,4/4/2026,"Phát triển và tối ưu giao diện hệ thống Hóa đơn điện tử bằng ReactJS
Tích hợp API với hệ thống Backend (NodeJS, C#)
Phối hợp với BA/UX để xây dựng UI thân thiện, dễ sử dụng
Tối ưu performance cho hệ thống có lượng người dùng lớn
Review code, đảm bảo chất lượng và chuẩn coding convention
Tham gia nâng cấp, refactor và cải tiến sản phẩm liên tục"
Front-End Engineer,"Frontend Developer, IT - Phần mềm",1,Hồ Chí Minh,CÔNG TY TNHH PANDA AGENCY,onsite,300,1500,USD,3/9/2026,6/4/2026,"Responsible for implementing front-end system requirements.
Design the front-end system architecture methodically, and appropriately separate business modules.
Conduct in-depth research on the platform under development, master the related technical architecture, and continuously enhance development capabilities.
Develop and optimize performance for real-time large-data processing modules.
Participate in researching and customizing new technologies according to project requirements."
Chuyên Viên Lập Trình Angular,"Fullstack Developer, IT - Phần mềm, Bảo hiểm, Tài chính",2,Hồ Chí Minh,"Cathay Insurance Co., Ltd",onsite,,,,3/2/2026,2/4/2026,"- Phát triển và bảo trì các ứng dụng web sử dụng Angular.
- Phối hợp với backend Team để tích hợp API.
- Tham gia phân tích yêu cầu và đề xuất giải pháp kỹ thuật.
- Tối ưu hiệu năng và trải nghiệm người dùng.
- Code review, sửa lỗi và viết tài liệu kỹ thuật và đảm bảo giao diện hoạt động ổn định."
Backend Developer ( Golang ),"Backend Developer, IT - Phần mềm",1,Hà Nội,CÔNG TY TNHH CÔNG NGHỆ THÔNG TIN VÀ VIỄN THÔNG DOLPHIN,onsite,,,,3/2/2026,1/4/2026,"Tham gia phát triển hệ thống backend sử dụng
Golang
cho các sản phẩm phục vụ lượng người dùng lớn.
Phân tích yêu cầu nghiệp vụ và triển khai các chức năng theo thiết kế kỹ thuật được đề xuất.
Xây dựng và phát triển các API đảm bảo tính ổn định và hiệu năng.
Làm việc với cơ sở dữ liệu và tối ưu truy vấn ở mức phù hợp với phạm vi công việc.
Phối hợp với các bộ phận liên quan (frontend, QA, vận hành) trong quá trình phát triển và triển khai sản phẩm.
Tham gia cải tiến hệ thống theo định hướng của team kỹ thuật."
Senior Full Stack Developer,"Fullstack Developer, IT - Phần mềm, Bất động sản, Thương mại điện tử",2,Hồ Chí Minh,Công ty TNHH IQI Việt Nam,onsite,25000000,30000000,VND,3/9/2026,4/4/2026,"Develop and maintain high-quality backend and full-stack features using Laravel and modern PHP.
(Phát triển và duy trì các tính năng backend và full-stack chất lượng cao bằng Laravel và PHP hiện đại.)
Build engaging, performant frontend experiences using React.
(Xây dựng giao diện người dùng hấp dẫn và hiệu năng cao bằng React.)
Collaborate with the Product and Tech teams to scope and implement new modules.
(Phối hợp với đội ngũ Sản phẩm và Kỹ thuật để xác định phạm vi và triển khai các mô-đun mới.)
Write clean, well-tested, and maintainable code with automated test coverage.
(Viết mã sạch, dễ bảo trì, được kiểm thử kỹ lưỡng và có tự động hóa kiểm thử.)
Deploy features in a CI/CD environment.
(Triển khai tính năng trong môi trường CI/CD.)
Monitor, troubleshoot and debug production systems.
(Giám sát, xử lý sự cố và gỡ lỗi các hệ thống đang vận hành.)
Maintain and optimise MySQL and PostgreSQL databases.
(Quản lý và tối ưu hóa cơ sở dữ liệu MySQL và PostgreSQL.)
Integrate with REST APIs and third-party systems.
(Tích hợp với REST API và các hệ thống bên thứ ba.)"
ReactJS Developer (Middle),"Frontend Developer, IT - Phần mềm",2,Hồ Chí Minh,ATALINK TECHNOLOGY JOINT STOCK COMPANY,onsite,,,,3/9/2026,30/04/2026,"Understand and analyze the requirements / designs clearly
Implement features from design specifications and deliver code with high-quality
Perform code review, code refactor
Ensure components and the overall application are robust and easy to maintain
Contribute to all aspects of the product development process, from specification and
design, throughout integration, release and maintenance
Continuously discover, evaluate, and implement new technologies to maximize
development efficiency"
Python Developer (Django/FastAPI) Thu Nhập 35M,"Backend Developer, IT - Phần mềm",2,Hà Nội,Công ty cổ phần kinh doanh công nghệ Open Techiz,onsite,35000000,35000000,VND,3/9/2026,4/4/2026,"We are looking for a skilled Python Developer with 2–4 years of experience to join our engineering team. The ideal candidate has hands-on experience with Django and/or FastAPI, strong backend development skills, and is confident communicating in English, including participating in client meetings
.
Design, develop, and maintain backend systems using Python (Django / FastAPI);
Build and maintain RESTful APIs for web and mobile applications;
Collaborate with frontend developers, QA engineers, and DevOps teams;
Optimize application performance, scalability, and security;
Participate in system architecture design and technical discussions;
Write clean, maintainable, and testable code;
Conduct code reviews and implement unit tests;
Communicate directly with international clients in English (meetings, requirement clarification, discussions)."
Junior Frontend Developer - Tại Hà Nội,"Frontend Developer, IT - Phần mềm",1,Hà Nội,Công ty TNHH Edtech Cole,onsite,13000000,13000000,VND,3/9/2026,5/4/2026,"Tham gia phát triển giao diện người dùng (UI) cho các ứng dụng web sử dụng ReactJS, NextJS cho các dự án của Công ty
Xây dựng các tính năng mới, tối ưu hóa hiệu suất và đảm bảo khả năng đáp ứng (responsiveness) của ứng dụng.
Hợp tác chặt chẽ với đội ngũ backend, designer và QA để hoàn thiện sản phẩm.
Làm việc trong môi trường kiến trúc microservice và quản lý mã nguồn trên Spring boot và Java Framework
Viết code sạch, dễ đọc và có khả năng bảo trì; tham gia vào các buổi review code."
"Mobile Developer ( Flutter , Dart)","Mobile Developer, IT - Phần mềm",5,Hà Nội,Công ty Cổ phần Chứng khoán DNSE,onsite,1000,2500,USD,3/2/2026,30/04/2026,"Tham gia sâu vào quy trình phát triển sản phẩm, từ lên ý tưởng, làm rõ yêu cầu, thiết kế giải pháp công nghệ và phát triển tính năng. Phối hợp và tư vấn giải pháp công nghệ, cùng các thành viên khác thiết kế sản phẩm hợp lý, mang lại giá trị cao về business.
Nhận thiết kế qua Figma và dựng UI/UX theo Designer yêu cầu. Hoặc thiết kế nháp bằng Wireframe, dựng nhanh tính năng/sản phẩm và yêu cầu Designer hoàn thiện lại và dựng UI/UX. Điều chỉnh / phản biệt lại thiết kế với UI/UX Designer nếu thiết kế bị thiếu luồng, thiếu màn hình hoặc tốn quá nhiều efforts nhưng không mang lại nhiều giá trị sản phẩm (ROI thấp)
Thiết kế và xây dựng Mobile app hiệu năng cao, tiết kiệm pin, tối ưu hoá dưng lượng băng thông. Đảm bảo chất lượng UI/UX trên các kiểu và kích cỡ màn hình khác nhau; trên các nền tảng khác nhau (iOS / Android)
UI/UX: Sử dụng và tối ưu các thư viện và cơ chế xử lý dữ liệu realtime và trình diễn dữ liệu (data visualization) với hiệu năng cao, nâng cao trải nghiệm giao dịch Nhanh, Mượt và Chính xác cho các nền tảng đầu tư của DNSE
UX: Tập trung vào tính chi tiết và bố cục hợp lý của Button, Table, Box, Tooltips... hiển thị trên sản phẩm. Tạo hiệu ứng nâng cao chất lượng tương tác tại các điểm chạm sản phẩm với người dùng.
Code quality: chủ động và có trách nhiệm trong việc nâng cao chất lượng code thông qua automated testing / refactor tech debts / code reviews. Áp dụng các kỹ thuật best practice như DRY, KISS, etc. vào thực tế để có code base đẹp, dễ maintain và dễ tiếp cận với người mới. Tham gia review code của các thành viên khác / projects khác để hiểu rõ mọi hệ thống của công ty cũng như nâng cao tiêu chuẩn chất lượng code của cả team.
Chủ động nghiên cứu các công nghệ mới, sẵn sàng chia sẻ thông tin và kiến thức cho các thành viên khác cùng phát triển, và đưa các công nghệ mới vào ứng dụng tại các dự án của công ty.
Đóng góp ý kiến, cải thiện và nâng cao hiệu quả của quy trình phát triển phần mềm theo Agile và Scrum."
Mobile Developer,"Mobile Developer, IT - Phần mềm",5,Hồ Chí Minh,CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN PI GROUP,onsite,30000000,50000000,VND,3/9/2026,5/4/2026,"Xây dựng ứng dụng di động (iOS, Android)
Tối ưu hiệu năng, UI/UX
Làm việc với các hệ thống backend, third-party SDK (Firebase, Google Maps...)
Tự kiểm tra ứng dụng trước khi bàn giao QA
Fix bugs phát hiện trong quá trình test
Fix lỗi sau khi app đã phát hành
Phối hợp phản hồi người dùng nếu có sự cố"
Junior Backend Developer - Thu Nhập 14-15 Tháng Lương/Năm,"Backend Developer, IT - Phần mềm",1,Hà Nội,SonatGame Studio,onsite,,,,3/9/2026,31/05/2026,"Tham gia thiết kế, xây dựng và phát triển website hệ thống dữ liệu cho công ty
Tiếp nhận và chỉnh sửa, nâng cấp kịp thời ứng dụng khi phát sinh lỗi hoặc có nhu cầu nâng cấp tính năng sản phẩm
Nghiên cứu và áp dụng các công nghệ mới
Phối hợp với front-end để tích hợp chức năng phía người dùng với server side logic
Được đào tạo và được trao nhiều cơ hội để phát triển chuyên môn"
Java Back-End Developer,"Software Engineer, IT - Phần mềm, Thương mại điện tử, Tài chính",3,Hà Nội,CÔNG TY CỔ PHẦN ALLIEX VIỆT NAM,onsite,30000000,50000000,VND,3/9/2026,3/4/2026,"Design, develop, and maintain RESTful APIs for Backoffice and loan management systems
Manage large amount of transactions smoothly
Ensure service reliability, scalability, and security through robust backend architecture
Integrate with third-party APIs and internal services
Support deployment, monitoring, and troubleshooting of backend services
Optimize application performance and database queries (Oracle SQL)
Collaborate with the frontend team for smooth API integration
Contribute to system documentation, testing, and release processes"
Techlead ( ReactJs - NodeJs )AI Project-Hybrid Working,"Fullstack Developer, IT - Phần mềm",5,Hồ Chí Minh,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VEXERE,onsite,,,,3/9/2026,3/4/2026,"Lead & Build: Develop and mentor a high-performing engineering team, driving talent growth and performance excellence.
Design & Architect: Create robust, scalable, and secure systems to support business expansion.
Ensure Code Excellence: Enforce best practices, conduct thorough code reviews, and optimize system performance.
Innovate & Optimize: Continuously enhance system reliability, automation, and scalability.
Collaborate & Align: Partner with cross-functional teams to build impactful solutions.
Monitor & Maintain: Oversee system health, troubleshoot critical issues, and ensure seamless operations."
Lập Trình Viên Frontend (React/ Angular /Vue),Frontend Developer,3,Hà Nội,Công ty TNHH Digital Innovation,onsite,15000000,30000000,VND,3/9/2026,5/4/2026,"Tham gia phân tích, thiết kế các dự án của công ty
Tham gia xây dựng các dự án của công ty
Nghiên cứu, học hỏi các công nghệ mới để ứng dụng vào dự án"
Backend Developer Intern,"Backend Developer, IT - Phần mềm",1,Hồ Chí Minh,Công ty TNHH Allgrow-labo,onsite,3000000,3000000,VND,3/13/2026,13/04/2026,"- Tham gia phát triển các chức năng backend cho các dự án của công ty.
- Tham gia chỉnh sửa, cải tiến các chức năng backend hiện có theo yêu cầu của dự án.
- Thực hiện kiểm tra và xác minh hoạt động của các chức năng sau khi phát triển hoặc chỉnh sửa.
- Hỗ trợ sửa lỗi dưới sự hướng dẫn của các thành viên trong nhóm.
- Phối hợp với các thành viên trong nhóm để đảm bảo chức năng được phát triển đúng yêu cầu.
- Học và tuân thủ các quy trình phát triển phần mềm của dự án.
- Trong quá trình thực tập sẽ được đào tạo về Backend (PHP/Laravel) và tham gia các dự án backend của công ty theo lộ trình thực tập sinh."
Mobile Developer,Mobile Developer,3,Hồ Chí Minh,WACONTRE ONE MEMBER LIMITED,onsite,15000000,20000000,VND,3/9/2026,4/4/2026,"Thiết kế, phát triển và triển khai các ứng dụng di động đa nền tảng sử dụng React Native.
Viết mã sạch, hiệu quả và dễ bảo trì.
Tối ưu hóa hiệu suất ứng dụng cho cả hai nền tảng iOS và Android.
Triển khai ứng dụng lên các kho ứng dụng (App Store, Google Play).
Hỗ trợ và sửa lỗi cho các ứng dụng đã được triển khai.
Hỗ trợ code Frontend Web sử dụng ReactJS
Hợp tác với các bên liên quan về thiết kế UI/UX, Marketing, Backend Developer
Cập nhật kiến thức về các công nghệ mới nhất liên quan đến React Native."
"MB Trainee - BackEnd Engineer (Intern, Fresher ) - Khối Công Nghệ Thông Tin (HOLT.09)","Backend Developer, IT - Phần mềm, Ngân hàng, Tài chính",1,Hà Nội,NGÂN HÀNG TMCP QUÂN ĐỘI – MBBANK,onsite,,,,3/10/2026,10/4/2026,"Tham gia lập trình, phát triển các các nền tảng nội bộ và ứng dụng dành cho khách hàng với quy mô 30 triệu khách hàng cá nhân và  300.000 khách hàng doanh nghiệp - đứng đầu Việt Nam về quy mô phục vụ.
Tham gia phát triển dịch vụ tích hợp với các hệ thống lõi của ngân hàng
Tham gia phát triển API trên API Gateway phục vụ tích hợp với các đối tác trong nước và quốc tế.
Tham gia nghiên cứu, thử nghiệm, triển khai áp dụng các xu hướng công nghệ mới vào việc phát triển: GraphQL, Docker Container (K8s), CICD, EventSourcing, CQRS, NoSQL ...
Tham gia các chương trình training, đào tạo để hoàn thiện chuyên môn, nhằm phát triển lên các vị trí chính thức sau chương trình trainee."
"PHP Developer (Tối Thiểu 1 Năm Kinh Nghiệm, PHP , Back-End)","Backend Developer, IT - Phần mềm",1,Hồ Chí Minh,CÔNG TY TNHH LAMPART,onsite,,,,3/9/2026,9/4/2026,"- Lập trình và phát triển ứng dụng web, web service theo yêu cầu.
- Xây dựng, phát triển, bảo trì và nâng cấp các dự án phần mềm của công ty và khách hàng.
- Tìm hiểu, phát triển và ứng dụng công nghệ mới vào sản phẩm.
- Thực hiện các công việc liên quan khác theo yêu cầu của Công ty."
Frontend Developer Intern,"Frontend Developer, IT - Phần mềm",1,Hồ Chí Minh,Công ty TNHH Allgrow-labo,onsite,3000000,3000000,VND,3/13/2026,13/04/2026,"- Tham gia chương trình đào tạo (3 tháng) dựa trên các dự án website thực tế phục vụ thị trường Nhật Bản, dưới sự hướng dẫn trực tiếp từ Mentor.
- Tham gia vào các công việc trong vòng đời phát triển website, bao gồm:
+Phân tích yêu cầu
+ Phát triển giao diện (Frontend)
+Kiểm thử và tối ưu website
+Triển khai và cải tiến sản phẩm
- Được đào tạo và định hướng phát triển theo Frontend chuyên sâu hoặc Fullstack tùy theo năng lực.
- Tham gia một số dự án nội bộ của công ty khi có đủ năng lực.
- Làm việc theo quy trình phát triển website của công ty (Waterfall)."
Backend Middle Developer (Từ 2 Năm Kinh Nghiệm Trở Lên) - Thu Nhập Upto 28 Net Tại Hà Nội,"Backend Developer, IT - Phần mềm",2,Hà Nội,Open Reach Tech Hanoi,onsite,20000000,28000000,VND,3/2/2026,2/4/2026,"1. Participate in entire application lifecycle
- Build robust and scalable software in JavaScript & Node.js, developing new features, debugging and optimizing the application.
- Write clean code to develop functional web applications.
- Implementation of security and data protection.
- Design and implementation of data storage solutions.
- Learning the latest development methodology using AI.
2. Support internal improvements
- Build reusable code and libraries for future use.
- Continuously improve your programming skills.
3. Collaborate closely with internal teams
- Collaborate with front-end developers to integrate user-facing elements with server-side logic.
- Work closely with designers, product managers, and system administrators to identify and build new features.
- Provide training and support to internal teams."
Flutter Developer,"Mobile Developer, IT - Phần mềm",2,Hà Nội,CÔNG TY CỔ PHẦN TINASOFT VIỆT NAM,onsite,20000000,20000000,VND,3/2/2026,1/4/2026,"Phát triển ứng dụng mobile đa nền tảng (Android/iOS) sử dụng Flutter.
Xây dựng giao diện và luồng chức năng theo thiết kế (Figma/UI mockup).
Tích hợp RESTful API từ Backend.
Quản lý state (Provider/Bloc/GetX cơ bản).
Xử lý local storage (SharedPreferences, Hive, SQLite…).
Fix bug, tối ưu hiệu năng và cải thiện trải nghiệm người dùng.
Tham gia review code, đóng góp cải tiến sản phẩm.
Phối hợp với team Backend, QA và Designer theo mô hình Agile/Scrum."
PHP DEVELOPER ( Laravel ),"Backend Developer, IT - Phần mềm",3,Hồ Chí Minh,CÔNG TY TNHH NHA KHOA KIM,onsite,20000000,30000000,VND,3/14/2026,13/04/2026,"Phát triển và bảo trì các hệ thống backend bằng PHP (ưu tiên Laravel), đảm bảo chất lượng và đúng tiến độ
Thiết kế, xây dựng và tối ưu REST API phục vụ web/app và các hệ thống tích hợp
Tích hợp dịch vụ bên thứ ba: CRM/Email/SMS-ZNS/Payment Gateway (tùy dự án)
Làm việc với MySQL: thiết kế bảng, tối ưu truy vấn, index, xử lý dữ liệu ổn định
Tham gia review code, viết tài liệu kỹ thuật cơ bản, phối hợp với FE/QA/BA để làm rõ yêu cầu
Tiếp nhận và cải tiến hệ thống có sẵn (legacy code): đọc hiểu, sửa lỗi, refactor từng phần khi cần
Đảm bảo tiêu chuẩn bảo mật cơ bản: chống SQL Injection, XSS, CSRF; quản lý secret/token an toàn Giám sát & tối ưu Database toàn hệ thống:"
Nhân Viên Lập Trình Fullstack,Fullstack Developer,1,Hồ Chí Minh,Công ty cổ phần Viễn thông VTC,onsite,10000000,18000000,VND,3/11/2026,10/4/2026,"Phối hợp với đội nhóm để phân tích yêu cầu của dự án, xây dựng kiến trúc và tổng hợp thành tài liệu.
Chịu trách nhiệm phát triển, tối ưu và duy trì hệ thống backend cho ứng dụng (Android, iOS, web).
Tối ưu hóa hệ thống cơ sở dữ liệu (SQL), giải quyết các vấn đề về hiệu năng và scalability.
Triển khai các giải pháp bảo mật theo quy định.
Đánh giá yêu cầu xây dựng (đánh giá được hết tất cả các trường hợp, hiểu bản chất của vấn đề), sửa đổi tính năng.
Xử lý lỗi phát sinh trong quá trình vận hành.
Tìm kiếm các phương án tối ưu nhằm nâng cao giải pháp, hiệu suất cho quá trình phát triển sản phẩm.
Nghiên cứu, cập nhật công nghệ mới liên quan đến phát triển sản phẩm."
Android Developer,"Mobile Developer, IT - Phần mềm, Thương mại điện tử, Tài chính",3,Hà Nội,CÔNG TY CỔ PHẦN ALLIEX VIỆT NAM,onsite,30000000,50000000,VND,3/9/2026,3/4/2026,"Develop and maintain Android applications for Backoffice and loan management
Implement payment terminal features and ensure data security compliance
Integrate mobile apps with backend APIs and services
Troubleshoot, debug, and optimize mobile app performance
Collaborate with UI/UX designers to ensure high-quality user experiences
Perform testing, release management, and app store deployment
Provide ongoing support and updates for existing apps"
Mobile Development Engineer ( Android / IOS ),"Mobile Developer, IT - Phần mềm",3,Hồ Chí Minh,CÔNG TY TNHH PANDA AGENCY,onsite,600,1500,USD,3/9/2026,6/4/2026,"Responsible for architectural design and application development on Android and iOS platforms.
Participate in the entire product lifecycle (from requirements analysis, design, development, testing, deployment to post-release maintenance).
Write high-quality, maintainable code and produce complete technical documentation.
Continuously optimize product performance and improve user experience.
Explore and research new technologies aligned with the company's development direction."
Senior Fullstack Developer,Fullstack Developer,5,Hà Nội,Công ty CP Công nghệ phần mềm và nội dung số OSP,onsite,,,,3/2/2026,1/4/2026,"Đóng vai trò cầu nối kỹ thuật giữa Product, Backend và Frontend.
End-to-end Ownership: Chịu trách nhiệm toàn trình từ phân tích yêu cầu -> Thiết kế DB -> Backend (Java/GraphQL) -> Frontend (React) -> Deploy.
Thiết kế luồng dữ liệu đi qua các thành phần: Kong Gateway, Redis, PostgreSQL, Kafka.
Quyết định giải pháp API phù hợp: REST cho nghiệp vụ chuẩn hoặc GraphQL cho dữ liệu linh hoạt.
Thực hiện Troubleshooting, Debugging full-stack để giải quyết các vấn đề phức tạp.
Tiên phong trong việc ứng dụng AI để rút ngắn thời gian phát triển sản phẩm (Idea to Production)."
Android Developer,"Mobile Developer, IT - Phần mềm",3,Hà Nội,CÔNG TY CỔ PHẦN IKAME GLOBAL,onsite,35000000,35000000,VND,3/2/2026,1/4/2026,"MÔ TẢ CÔNG VIỆC
Xây dựng và phát triển app Android: code tính năng, sửa lỗi, tối ưu hiệu suất.
Đóng góp ý tưởng, đề xuất giải pháp kỹ thuật, cùng team phát triển sản phẩm.
Phối hợp chặt chẽ với các thành viên trong team để vận hành và tối ưu hoá sản phẩm.
Nghiên cứu công nghệ mới, phù hợp với chiến lược sản phẩm.
Dẫn dắt team, review và cải tiến chất lượng code (Senior)."
"Senior Back End Developer (.NET,C#, SQL )","Backend Developer, IT - Phần mềm, Điện toán đám mây (Cloud), Sản xuất",3,Hồ Chí Minh,Công ty TNHH Liên doanh Ocany Việt Nam,onsite,20000000,24000000,VND,3/10/2026,10/4/2026,"Tham gia phân tích và phát triển hệ thống ERP, phát triển các module, tính năng mới theo yêu cầu trên nền tảng .NET (C#).
Nghiên cứu các giải pháp công nghệ, nâng cấp và tối ưu các chức năng hệ thống.
Trao đổi, phối hợp với các bộ phận để hiểu yêu cầu nghiệp vụ, đối tượng mà sản phẩm hướng đến từ đó đưa ra các phương án, giải pháp thực hiện phù hợp.
Thực hiện các công việc khác theo phân công của cấp trên."
Middle Backend Developer ( PHP / Laravel ),"Backend Developer, IT - Phần mềm, Điện toán đám mây (Cloud), An ninh mạng",2,Hà Nội,CÔNG TY CỔ PHẦN GIẢI PHÁP CÔNG NGHỆ NEWWAY,onsite,,,,3/12/2026,11/4/2026,"Middle Backend Developer chịu trách nhiệm phát triển độc lập các module/tính năng phức tạp, thiết kế API, tối ưu CSDL, và tham gia hỗ trợ định hướng cho Junior Developers. Vị trí này yêu cầu chuyên môn sâu về kiến trúc hệ thống, tối ưu hiệu năng  và khả năng giải quyết vấn đề kỹ thuật."
Middle Backend Developer,"Backend Developer, IT - Phần mềm",2,Hồ Chí Minh,WACONTRE ONE MEMBER LIMITED,onsite,,,,3/10/2026,12/4/2026,"Thiết kế, phát triển và tối ưu hệ thống web/app trên nền tảng PHP (Laravel) hoặc các framework khác.
Có kinh nghiệm làm việc với ReactJS (tối thiểu 1 - 2 năm) trong các dự án web thực tế.
Hiểu và áp dụng tốt HTML5, CSS3, responsive design (Flexbox, Grid).
Phát triển, bảo trì và tối ưu hệ thống backend sử dụng PHP (Laravel).
Thiết kế, quản lý và tối ưu cơ sở dữ liệu MySQL.
Xây dựng API/Restful API, tối ưu hiệu năng hệ thống với caching (Redis), MongoDB.
Hợp tác với các team frontend, mobile và QA để đảm bảo sản phẩm hoạt động ổn định.
Mentor, hỗ trợ Junior Developer, phối hợp với team đảm bảo chất lượng và tiến độ dự án.
Phân tích, xử lý lỗi và cải thiện hiệu suất hệ thống."
Kỹ Sư Lập Trình C++,"Backend Developer, IT - Phần mềm",2,Hà Nội,Công ty TNHH Công Nghệ Dicom,onsite,,,,3/2/2026,1/4/2026,"Phát triển và tối ưu các module C++ cho hệ thống điều khiển không lưu trên nền tảng Ubuntu/Linux.
Làm việc với các thành phần truyền thông real-time (SIP/RTP, pjproject) dưới sự hướng dẫn của kỹ sư senior.
Phát triển và tích hợp giao diện người dùng sử dụng Qt/QML.
Tham gia thiết kế kiến trúc, tối ưu hiệu năng, đảm bảo tính ổn định của hệ thống.
Tham gia code review, debug hệ thống, phân tích core dump."
